Order NO,Order Date,Countries,Pie Flavor,Quantity,Price,Amount Sold,Slice Or Whole Pie,Pre-Order/In-Store Purchase,Organic?,,,,,,,,,,,,,Pie Flavor,Quantity,,
10710,43727,Cameroon,Blueberry,4,6664,26656,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10711,43727,Central African Republic,Other,3,7769,23307,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10712,43727,Chad,Strawberry Rhubarb,4,1022,4088,Slice,In-Store,No,,,,,,,,,,,,,,,,
10713,43727,Comoros,Strawberry Rhubarb,1,2107,2107,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10714,43727,Congo,Strawberry Rhubarb,4,9716,38864,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10715,43727,Côte d'Ivoire,Other,1,7648,7648,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10716,43727,Djibouti,Strawberry Rhubarb,1,7827,7827,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10717,43883,DR Congo,Strawberry Rhubarb,2,2508,5016,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10718,43883,Egypt,Cherry,1,9396,9396,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10719,43883,Equatorial Guinea,Strawberry Rhubarb,2,2261,4522,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10720,43883,Eritrea,Cherry,2,8915,17830,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10721,43883,Eswatini,Cherry,1,5724,5724,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10722,43883,Ethiopia,Apple,3,5116,15348,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10723,43883,Gabon,Cherry,4,9114,36456,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10724,43883,Gambia,Strawberry Rhubarb,5,1184,5920,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10725,43883,Ghana,Apple,3,4763,14289,Whole,In-Store,No,,,,,,,,,,,,,,,,
10726,43883,Guinea,Apple,4,7975,31900,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10727,43883,Guinea-Bissau,Apple,2,2319,4638,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10728,43916,Kenya,Other,3,9213,27639,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10729,43916,Lesotho,Other,2,1908,3816,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10730,43916,Liberia,Other,5,7599,37995,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10731,43916,Libya,Cherry,4,8983,35932,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10732,43916,Madagascar,Cherry,5,9000,45000,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10733,43916,Malawi,Cherry,1,8493,8493,Slice,In-Store,No,,,,,,,,,,,,,,,,
10734,43916,Mali,Cherry,4,2950,11800,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10735,43916,Mauritania,Cherry,3,5452,16356,Slice,In-Store,No,,,,,,,,,,,,,,,,
10736,43916,Mauritius,Cherry,4,4559,18236,Slice,In-Store,No,,,,,,,,,,,,,,,,
10737,44203,Morocco,Strawberry Rhubarb,5,3312,16560,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10738,44413,Mozambique,Pumpkin,5,8511,42555,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10739,43938,Namibia,Fudge,4,8325,33300,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10740,43938,Niger,Cherry,4,2889,11556,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10741,43938,Nigeria,Fudge,4,7967,31868,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10742,43938,Rwanda,Cherry,4,1157,4628,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10743,43938,Sao Tome & Principe,Cherry,3,4924,14772,Whole,In-Store,No,,,,,,,,,,,,,,,,
10744,43938,Senegal,Apple,1,8599,8599,Whole,In-Store,No,,,,,,,,,,,,,,,,
10745,43938,Seychelles,Cherry,3,7785,23355,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10746,44152,Sierra Leone,Pumpkin,1,8185,8185,Slice,In-Store,No,,,,,,,,,,,,,,,,
10747,43938,Somalia,Apple,3,3404,10212,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10748,43938,South Africa,Apple,3,6169,18507,Slice,In-Store,No,,,,,,,,,,,,,,,,
10749,43938,South Sudan,Apple,3,6585,19755,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10750,43938,Sudan,Apple,4,5085,20340,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10751,44274,Tanzania,Fudge,3,4212,12636,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10752,44274,Togo,Fudge,5,8127,40635,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10753,44274,Tunisia,Apple,3,6465,19395,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10754,44274,Uganda,Fudge,4,3726,14904,Whole,In-Store,No,,,,,,,,,,,,,,,,
10755,44274,Zambia,Blueberry,4,3763,15052,Whole,In-Store,No,,,,,,,,,,,,,,,,
10756,44274,Zimbabwe,Apple,5,6934,34670,Slice,In-Store,No,,,,,,,,,,,,,,,,
10757,44274,Algeria,Blueberry,5,1779,8895,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10758,44274,Angola,Apple,5,7292,36460,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10759,44274,Benin,Strawberry Rhubarb,2,7646,15292,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10760,44090,Botswana,Apple,1,4627,4627,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10761,44090,Burkina Faso,Apple,2,3911,7822,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10762,44090,Burundi,Apple,1,4718,4718,Whole,In-Store,No,,,,,,,,,,,,,,,,
10763,44090,Cabo Verde,Strawberry Rhubarb,5,3128,15640,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10764,44090,Cameroon,Strawberry Rhubarb,2,6077,12154,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10765,44090,Central African Republic,Strawberry Rhubarb,5,3980,19900,Slice,In-Store,No,,,,,,,,,,,,,,,,
10766,44090,Chad,Strawberry Rhubarb,3,9825,29475,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10767,44090,Comoros,Strawberry Rhubarb,5,9787,48935,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10768,44090,Congo,Strawberry Rhubarb,2,1880,3760,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10769,44090,Côte d'Ivoire,Strawberry Rhubarb,1,5877,5877,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10770,44090,Djibouti,Strawberry Rhubarb,4,7160,28640,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10771,44090,DR Congo,Strawberry Rhubarb,2,1325,2650,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10772,44142,Egypt,Apple,5,7503,37515,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10773,44142,Equatorial Guinea,Apple,4,4865,19460,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10774,44456,Eritrea,Strawberry Rhubarb,1,1000,1000,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10775,44456,Eswatini,Strawberry Rhubarb,3,6817,20451,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10776,44456,Ethiopia,Strawberry Rhubarb,4,4063,16252,Whole,In-Store,No,,,,,,,,,,,,,,,,
10777,44456,Gabon,Strawberry Rhubarb,1,5478,5478,Slice,In-Store,No,,,,,,,,,,,,,,,,
10778,44456,Gambia,Strawberry Rhubarb,1,7374,7374,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10779,43739,Ghana,Fudge,4,3146,12584,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10780,43739,Guinea,Fudge,4,2365,9460,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10781,43739,Guinea-Bissau,Fudge,4,1567,6268,Slice,In-Store,No,,,,,,,,,,,,,,,,
10782,43739,Kenya,Fudge,2,6788,13576,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10783,43739,Lesotho,Apple,5,1159,5795,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10784,43739,Liberia,Fudge,4,9828,39312,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10785,43739,Libya,Blueberry,4,6923,27692,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10786,43739,Madagascar,Apple,2,5288,10576,Slice,In-Store,No,,,,,,,,,,,,,,,,
10787,43739,Malawi,Blueberry,2,5506,11012,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10788,43739,Mali,Apple,1,2489,2489,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10789,43739,Mauritania,Strawberry Rhubarb,3,7087,21261,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10790,43739,Mauritius,Blueberry,4,7017,28068,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10791,43739,Morocco,Apple,2,4329,8658,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10792,43739,Mozambique,Blueberry,3,9773,29319,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10793,44184,Namibia,Apple,1,9889,9889,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10794,44184,Niger,Apple,5,2506,12530,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10795,44529,Nigeria,Pumpkin,2,7571,15142,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10796,44529,Rwanda,Pumpkin,4,7140,28560,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10797,44315,Sao Tome & Principe,Pumpkin,2,1132,2264,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10798,44315,Senegal,Pumpkin,5,9850,49250,Slice,In-Store,No,,,,,,,,,,,,,,,,
10799,44315,Seychelles,Fudge,3,3771,11313,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10800,44315,Sierra Leone,Pumpkin,5,9513,47565,Whole,In-Store,No,,,,,,,,,,,,,,,,
10801,44529,Somalia,Apple,5,6899,34495,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10802,44315,South Africa,Pumpkin,2,1227,2454,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10803,44315,South Sudan,Pumpkin,4,5720,22880,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10804,44529,Sudan,Pumpkin,3,3370,10110,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10805,44489,Tanzania,Apple,1,8828,8828,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10806,44489,Togo,Apple,5,1310,6550,Whole,In-Store,No,,,,,,,,,,,,,,,,
10807,44489,Tunisia,Apple,1,6388,6388,Slice,In-Store,No,,,,,,,,,,,,,,,,
10808,44489,Uganda,Apple,4,8975,35900,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10809,44489,Zambia,Pumpkin,5,1324,6620,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10810,44489,Zimbabwe,Pumpkin,5,6127,30635,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10811,44489,Algeria,Apple,2,4588,9176,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10812,44489,Angola,Apple,3,7556,22668,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10813,44489,Benin,Apple,5,1346,6730,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10814,44489,Botswana,Cherry,2,5206,10412,Whole,In-Store,No,,,,,,,,,,,,,,,,
10815,44489,Burkina Faso,Cherry,4,9882,39528,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10816,44489,Burundi,Cherry,2,3032,6064,Slice,In-Store,No,,,,,,,,,,,,,,,,
10817,44489,Cabo Verde,Apple,4,4378,17512,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10818,44489,Cameroon,Pumpkin,1,2582,2582,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10819,43669,Central African Republic,Fudge,2,2840,5680,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10820,43669,Chad,Fudge,1,4032,4032,Slice,In-Store,No,,,,,,,,,,,,,,,,
10821,43669,Comoros,Fudge,4,9947,39788,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10822,43669,Congo,Fudge,2,5871,11742,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10823,43669,Côte d'Ivoire,Apple,3,1240,3720,Slice,In-Store,No,,,,,,,,,,,,,,,,
10824,43669,Djibouti,Apple,2,6805,13610,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10825,43669,DR Congo,Fudge,4,6302,25208,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10826,43669,Egypt,Fudge,4,7700,30800,Whole,In-Store,No,,,,,,,,,,,,,,,,
10827,43669,Equatorial Guinea,Fudge,5,4045,20225,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10828,43669,Eritrea,Fudge,3,5555,16665,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10829,43669,Eswatini,Fudge,2,2806,5612,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10830,43669,Ethiopia,Fudge,1,4930,4930,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10831,43669,Gabon,Fudge,4,2748,10992,Slice,In-Store,No,,,,,,,,,,,,,,,,
10832,43669,Gambia,Apple,5,1796,8980,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10833,43669,Ghana,Fudge,1,2872,2872,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10834,43669,Guinea,Blueberry,4,4085,16340,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10835,43669,Guinea-Bissau,Apple,5,1573,7865,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10836,43669,Kenya,Blueberry,2,8341,16682,Whole,In-Store,No,,,,,,,,,,,,,,,,
10837,44144,Lesotho,Apple,5,9026,45130,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10838,44144,Liberia,Apple,3,7627,22881,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10839,44303,Libya,Fudge,3,3151,9453,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10840,44303,Madagascar,Apple,4,4716,18864,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10841,44303,Malawi,Fudge,5,1654,8270,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10842,44303,Mali,Fudge,1,8363,8363,Slice,In-Store,No,,,,,,,,,,,,,,,,
10843,44303,Mauritania,Apple,3,2788,8364,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10844,44303,Mauritius,Apple,5,6020,30100,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10845,44303,Morocco,Apple,5,3480,17400,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10846,44303,Mozambique,Fudge,1,4438,4438,Whole,In-Store,No,,,,,,,,,,,,,,,,
10847,44303,Namibia,Blueberry,3,4900,14700,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10848,44303,Niger,Fudge,3,9890,29670,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10849,44303,Nigeria,Fudge,3,1394,4182,Whole,In-Store,No,,,,,,,,,,,,,,,,
10850,44303,Rwanda,Fudge,2,7400,14800,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10851,44303,Sao Tome & Principe,Fudge,1,1472,1472,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10852,44303,Senegal,Fudge,1,2964,2964,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10853,44066,Seychelles,Blueberry,4,5324,21296,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10854,44066,Sierra Leone,Blueberry,3,4334,13002,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10855,44066,Somalia,Blueberry,3,4154,12462,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10856,44066,South Africa,Blueberry,5,4119,20595,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10857,44066,South Sudan,Apple,4,9197,36788,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10858,44066,Sudan,Apple,3,4892,14676,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10859,44066,Tanzania,Blueberry,5,8898,44490,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10860,44066,Togo,Other,5,1722,8610,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10861,44292,Tunisia,Fudge,4,8882,35528,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10862,44292,Uganda,Apple,2,6164,12328,Whole,In-Store,No,,,,,,,,,,,,,,,,
10863,44292,Zambia,Apple,1,3886,3886,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10864,44292,Zimbabwe,Fudge,1,5387,5387,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10865,44292,Algeria,Fudge,4,6674,26696,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10866,44292,Angola,Fudge,2,6209,12418,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10867,44292,Benin,Fudge,2,1047,2094,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10868,44292,Botswana,Fudge,3,5410,16230,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10869,44292,Burkina Faso,Fudge,2,2673,5346,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10870,44292,Burundi,Fudge,4,6933,27732,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10871,44292,Cabo Verde,Apple,4,8074,32296,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10872,44292,Cameroon,Fudge,2,6910,13820,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10873,44292,Central African Republic,Blueberry,3,7699,23097,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10874,44292,Chad,Apple,3,1798,5394,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10875,44292,Comoros,Blueberry,2,9075,18150,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10876,44292,Congo,Apple,3,4990,14970,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10877,44506,Côte d'Ivoire,Pumpkin,2,2683,5366,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10878,44292,Djibouti,Blueberry,1,8009,8009,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10879,44159,DR Congo,Fudge,1,9402,9402,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10880,44159,Egypt,Fudge,5,2166,10830,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10881,44159,Equatorial Guinea,Pumpkin,5,1623,8115,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10882,44159,Eritrea,Apple,2,6053,12106,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10883,44159,Eswatini,Pumpkin,3,8821,26463,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10884,44159,Ethiopia,Apple,3,4196,12588,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10885,44159,Gabon,Fudge,5,4114,20570,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10886,44159,Gambia,Apple,1,7483,7483,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10887,43945,Ghana,Pumpkin,3,4928,14784,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10888,44276,Guinea,Strawberry Rhubarb,5,8654,43270,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10889,44276,Guinea-Bissau,Strawberry Rhubarb,3,1515,4545,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10890,44276,Kenya,Strawberry Rhubarb,5,2803,14015,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10891,44276,Lesotho,Strawberry Rhubarb,3,7615,22845,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10892,44276,Liberia,Strawberry Rhubarb,3,9658,28974,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10893,44276,Libya,Strawberry Rhubarb,3,7499,22497,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10894,44276,Madagascar,Strawberry Rhubarb,5,3141,15705,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10895,44276,Malawi,Strawberry Rhubarb,5,6375,31875,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10896,44276,Mali,Strawberry Rhubarb,4,7083,28332,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10897,44276,Mauritania,Strawberry Rhubarb,4,8608,34432,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10898,44276,Mauritius,Strawberry Rhubarb,1,1929,1929,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10899,44276,Morocco,Strawberry Rhubarb,2,5250,10500,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10900,44276,Mozambique,Strawberry Rhubarb,4,7004,28016,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10901,44276,Namibia,Strawberry Rhubarb,2,8152,16304,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10902,44276,Niger,Strawberry Rhubarb,4,6637,26548,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10903,44276,Nigeria,Pumpkin,3,2845,8535,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10904,44276,Rwanda,Pumpkin,4,9589,38356,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10905,44220,Sao Tome & Principe,Fudge,4,5313,21252,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10906,44220,Senegal,Fudge,3,2508,7524,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10907,44220,Seychelles,Fudge,2,1209,2418,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10908,44220,Sierra Leone,Apple,5,6493,32465,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10909,44220,Somalia,Apple,3,2224,6672,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10910,44220,South Africa,Fudge,5,9582,47910,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10911,44220,South Sudan,Fudge,3,1929,5787,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10912,44220,Sudan,Fudge,3,7339,22017,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10913,44220,Tanzania,Fudge,3,1947,5841,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10914,44220,Togo,Fudge,5,6808,34040,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10915,44220,Tunisia,Fudge,1,7060,7060,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10916,44220,Uganda,Fudge,4,5810,23240,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10917,44220,Zambia,Apple,3,7866,23598,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10918,43899,Zimbabwe,Strawberry Rhubarb,2,8534,17068,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10919,43899,Algeria,Strawberry Rhubarb,3,3056,9168,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10920,43899,Angola,Strawberry Rhubarb,5,5420,27100,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10921,43899,Benin,Strawberry Rhubarb,2,4381,8762,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10922,43899,Botswana,Strawberry Rhubarb,2,3715,7430,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10923,43899,Burkina Faso,Strawberry Rhubarb,1,2474,2474,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10924,43899,Burundi,Strawberry Rhubarb,3,1434,4302,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10925,43899,Cabo Verde,Strawberry Rhubarb,2,5641,11282,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10926,43899,Cameroon,Strawberry Rhubarb,4,8219,32876,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10927,43899,Central African Republic,Strawberry Rhubarb,2,2375,4750,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10928,43899,Chad,Strawberry Rhubarb,1,4986,4986,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10929,44191,Comoros,Pumpkin,1,3089,3089,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10930,44191,Congo,Pumpkin,1,1094,1094,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10931,44191,Côte d'Ivoire,Pumpkin,1,8203,8203,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10932,44191,Djibouti,Pumpkin,4,7855,31420,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10933,44191,DR Congo,Pumpkin,1,5235,5235,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10934,44191,Egypt,Pumpkin,2,2657,5314,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10935,44191,Equatorial Guinea,Pumpkin,5,9778,48890,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10936,44191,Eritrea,Fudge,4,8681,34724,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10937,44191,Eswatini,Fudge,2,9061,18122,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10938,44191,Ethiopia,Fudge,1,4183,4183,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10939,44191,Gabon,Fudge,5,3912,19560,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10940,44191,Gambia,Apple,3,8125,24375,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10941,44191,Ghana,Apple,5,6191,30955,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10942,44191,Guinea,Fudge,2,2912,5824,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10943,44191,Guinea-Bissau,Fudge,2,7783,15566,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10944,44191,Kenya,Fudge,5,6103,30515,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10945,44191,Lesotho,Fudge,2,1116,2232,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10946,44191,Liberia,Fudge,3,7107,21321,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10947,44289,Libya,Apple,1,6307,6307,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10948,44289,Madagascar,Blueberry,3,9682,29046,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10949,44289,Malawi,Blueberry,5,5129,25645,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10950,44289,Mali,Blueberry,1,6646,6646,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10951,44289,Mauritania,Blueberry,5,6842,34210,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10952,44289,Mauritius,Blueberry,2,6908,13816,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10953,44289,Morocco,Apple,4,8408,33632,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10954,44386,Mozambique,Fudge,4,4434,17736,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10955,44386,Namibia,Fudge,2,6732,13464,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10956,44386,Niger,Pumpkin,4,2599,10396,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10957,44386,Nigeria,Apple,2,8754,17508,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10958,44386,Rwanda,Apple,2,6720,13440,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
