S/N,Date,Branch,Pizza Sold,Price,Quantity,Sales Discount,Time,Time Range
1421,2020-07-15,Italy,Beef Suya,3000,5,0.05,17:44:09.600000,Before 9:00am
1422,2020-12-16,Spain,Beef Suya,3000,4,0.07,16:45:07.200000,Before 9:00am
1423,2020-09-22,England,BBQ Philly Steak,4000,3,0.05,17:38:24,Before 9:00am
1424,2022-03-29,England,Hot Pepperoni Feast,4000,2,0.0,13:09:07.200000,Before 9:00am
1425,2021-02-18,England,Italiano,3000,1,0.0,15:01:26.400000,Before 9:00am
1426,2021-10-11,Italy,Beef Suya,3000,3,0.07,16:16:19.200000,Before 9:00am
1427,2022-04-04,England,BBQ Chicken,4000,2,0.03,16:26:24,Before 9:00am
1428,2020-11-03,Spain,BBQ Chicken,4000,4,0.07,13:26:24,Before 9:00am
1429,2020-01-27,France,Italiano,3000,2,0.05,16:45:07.200000,Before 9:00am
1430,2021-05-05,England,Meatzaa,2000,3,0.05,15:02:52.800000,Before 9:00am
1431,2020-08-07,Germany,Hot Pepperoni Feast,4000,1,0.0,10:58:04.800000,Before 9:00am
1432,2021-07-01,Germany,Chicken Legend,2000,3,0.05,10:55:12,Before 9:00am
1433,2021-05-11,France,Hot Pepperoni Feast,4000,3,0.03,14:26:52.800000,Before 9:00am
1434,2020-05-24,France,Italiano,3000,5,0.0,08:41:16.800000,Before 9:00am
1435,2021-10-16,Germany,Hot Pepperoni Feast,4000,5,0.07,09:50:24,Before 9:00am
1436,2022-02-06,England,Chicken Feast,2000,3,0.05,15:43:12,Before 9:00am
1437,2021-07-22,England,Hot Pepperoni Feast,4000,4,0.0,09:34:33.600000,Before 9:00am
1438,2021-07-21,Germany,Extravaganza,2000,5,0.0,16:10:33.600000,Before 9:00am
1439,2020-01-17,Italy,Extravaganza,2000,5,0.0,12:33:07.200000,Before 9:00am
1440,2021-04-17,Spain,Chicken Suya,4000,2,0.05,08:28:19.200000,Before 9:00am
1441,2020-05-20,France,Chicken Suya,4000,2,0.07,15:24:28.800000,Before 9:00am
1442,2020-01-12,France,Meatzaa,2000,5,0.0,12:14:24,Before 9:00am
1443,2022-03-23,Italy,Pepperoni Suya,3000,2,0.1,14:08:09.600000,Before 9:00am
1444,2020-08-09,Italy,Pepperoni Suya,3000,4,0.03,13:53:45.600000,Before 9:00am
1445,2022-04-16,Germany,Italiano,3000,4,0.07,15:34:33.600000,Before 9:00am
1446,2022-01-22,Italy,Chicken Bali,2000,5,0.0,16:27:50.400000,Before 9:00am
1447,2020-12-24,France,Hot Pepperoni Feast,4000,5,0.03,10:26:24,Before 9:00am
1448,2021-01-04,France,Pepperoni Feast,4000,5,0.07,15:11:31.200000,Before 9:00am
1449,2021-05-28,Italy,Beef Suya,3000,4,0.05,10:39:21.600000,Before 9:00am
1450,2020-04-16,France,Meatzaa,2000,3,0.0,09:05:45.600000,Before 9:00am
1451,2020-10-10,France,Chicken Bali,2000,3,0.05,14:52:48,Before 9:00am
1452,2021-04-27,England,Hot Pepperoni Feast,4000,2,0.03,11:15:21.600000,Before 9:00am
1453,2020-05-06,Spain,Beef Suya,3000,5,0.0,13:23:31.200000,Before 9:00am
1454,2020-08-31,Germany,Hot Pepperoni Feast,4000,2,0.07,13:06:14.400000,Before 9:00am
1455,2022-06-09,France,BBQ Philly Steak,4000,3,0.0,08:52:48,Before 9:00am
1456,2021-10-13,Italy,Margarita,4000,4,0.0,12:25:55.200000,Before 9:00am
1457,2021-03-23,Spain,Chicken Suya,4000,3,0.07,08:00:57.600000,Before 9:00am
1458,2021-12-01,Spain,Beef Suya,3000,4,0.05,10:14:52.800000,Before 9:00am
1459,2022-04-03,Germany,Extravaganza,2000,1,0.05,17:24:00,Before 9:00am
1460,2020-01-02,Germany,Meatzaa,2000,3,0.03,10:32:09.600000,Before 9:00am
1461,2020-08-10,Spain,Beef Suya,3000,1,0.03,10:07:40.800000,Before 9:00am
1462,2021-03-29,Germany,Margarita,4000,5,0.0,10:09:07.200000,Before 9:00am
1463,2020-03-12,Germany,Hot Pepperoni Feast,4000,4,0.0,10:43:40.800000,Before 9:00am
1464,2020-01-15,Germany,Chicken Legend,2000,3,0.0,16:37:55.200000,Before 9:00am
1465,2022-05-09,Germany,Chicken Feast,2000,2,0.0,09:38:52.800000,Before 9:00am
1466,2020-08-21,Germany,Chicken Legend,2000,1,0.0,17:21:07.200000,Before 9:00am
1467,2021-08-02,Spain,Hot Veggie,4000,4,0.07,11:19:40.800000,Before 9:00am
1468,2022-02-09,England,BBQ Chicken,4000,4,0.05,11:03:50.400000,Before 9:00am
1469,2021-10-25,England,BBQ Philly Steak,4000,1,0.07,15:54:43.200000,Before 9:00am
1470,2022-02-22,Spain,Pepperoni Feast,4000,5,0.05,16:50:52.800000,Before 9:00am
1471,2022-02-08,Spain,Margarita,4000,5,0.1,08:48:28.800000,Before 9:00am
1472,2021-04-08,Italy,Hot Veggie,4000,1,0.1,08:34:04.800000,Before 9:00am
1473,2020-06-15,Germany,Extravaganza,2000,5,0.03,16:07:40.800000,Before 9:00am
1474,2020-04-19,Germany,Meatzaa,2000,2,0.1,16:32:09.600000,Before 9:00am
1475,2020-06-26,Italy,Italiano,3000,3,0.1,11:06:43.200000,Before 9:00am
1476,2021-01-26,France,Pepperoni Suya,3000,3,0.03,13:23:31.200000,Before 9:00am
1477,2021-12-12,France,Pepperoni Suya,3000,4,0.07,17:18:14.400000,Before 9:00am
1478,2022-05-10,France,Veggie Supreme,3000,3,0.03,13:27:50.400000,Before 9:00am
1479,2021-06-20,England,Extravaganza,2000,2,0.1,14:29:45.600000,Before 9:00am
1480,2020-03-08,France,Pepperoni Feast,4000,4,0.05,17:44:09.600000,Before 9:00am
1481,2020-02-10,Spain,Chicken Legend,2000,1,0.07,14:22:33.600000,Before 9:00am
1482,2022-05-21,Spain,Italiano,3000,5,0.0,10:33:36,Before 9:00am
1483,2022-02-13,England,Veggie Supreme,3000,3,0.05,15:23:02.400000,Before 9:00am
1484,2022-01-03,Italy,Chicken Legend,2000,4,0.05,09:38:52.800000,Before 9:00am
1485,2020-03-11,Germany,Chicken Legend,2000,3,0.03,10:37:55.200000,Before 9:00am
1486,2021-03-12,Italy,Hot Veggie,4000,1,0.0,11:13:55.200000,Before 9:00am
1487,2021-12-13,Germany,Chicken Bali,2000,4,0.05,08:51:21.600000,Before 9:00am
1488,2022-05-27,Germany,BBQ Chicken,4000,3,0.03,10:17:45.600000,Before 9:00am
1489,2021-09-07,England,Chicken Bali,2000,1,0.0,10:59:31.200000,Before 9:00am
1490,2020-06-10,England,Italiano,3000,1,0.07,10:45:07.200000,Before 9:00am
1491,2021-01-10,Germany,Pepperoni Feast,4000,4,0.07,12:18:43.200000,Before 9:00am
1492,2022-01-17,Spain,Chicken Bali,2000,4,0.07,16:37:55.200000,Before 9:00am
1493,2022-06-11,France,BBQ Philly Steak,4000,2,0.0,11:02:24,Before 9:00am
1494,2022-06-02,Spain,Chicken Suya,4000,3,0.0,10:03:21.600000,Before 9:00am
1495,2022-06-04,Spain,Chicken Suya,4000,1,0.0,11:18:14.400000,Before 9:00am
1496,2020-01-25,France,Hot Pepperoni Feast,4000,1,0.07,16:04:48,Before 9:00am
1497,2021-04-19,Italy,Hot Veggie,4000,2,0.0,10:35:02.400000,Before 9:00am
1498,2022-05-08,England,Hot Veggie,4000,2,0.0,11:28:19.200000,Before 9:00am
1499,2022-03-22,Italy,Extravaganza,2000,4,0.05,15:02:52.800000,Before 9:00am
1500,2021-08-25,Spain,Hot Pepperoni Feast,4000,3,0.05,14:31:12,Before 9:00am
1501,2021-12-07,England,Meatzaa,2000,1,0.05,12:48:57.600000,Before 9:00am
1502,2020-09-05,Germany,Chicken Bali,2000,1,0.05,15:59:02.400000,Before 9:00am
1503,2020-04-16,Spain,Chicken Legend,2000,2,0.05,11:45:36,Before 9:00am
1504,2021-06-19,Spain,Margarita,4000,4,0.0,09:41:45.600000,Before 9:00am
1505,2021-05-04,Italy,BBQ Philly Steak,4000,1,0.03,12:07:12,Before 9:00am
1506,2021-01-02,France,Hot Veggie,4000,5,0.05,10:53:45.600000,Before 9:00am
1507,2022-04-15,France,Pepperoni Feast,4000,2,0.05,12:43:12,Before 9:00am
1508,2022-02-18,Italy,BBQ Chicken,4000,3,0.05,08:16:48,Before 9:00am
1509,2022-06-19,Spain,Margarita,4000,2,0.05,09:25:55.200000,Before 9:00am
1510,2022-02-06,Germany,Chicken Legend,2000,3,0.0,15:18:43.200000,Before 9:00am
1511,2020-09-15,England,BBQ Chicken,4000,1,0.03,14:29:45.600000,Before 9:00am
1512,2021-12-04,Spain,Veggie Supreme,3000,4,0.05,09:04:19.200000,Before 9:00am
1513,2022-01-06,England,Margarita,4000,5,0.05,12:21:36,Before 9:00am
1514,2021-08-09,Spain,Hot Veggie,4000,3,0.0,11:28:19.200000,Before 9:00am
1515,2020-01-05,Spain,Hot Veggie,4000,4,0.03,12:56:09.600000,Before 9:00am
1516,2020-01-22,Italy,Hot Pepperoni Feast,4000,5,0.03,09:01:26.400000,Before 9:00am
1517,2020-06-09,France,Pepperoni Suya,3000,1,0.05,08:15:21.600000,Before 9:00am
1518,2020-03-29,Spain,Pepperoni Feast,4000,2,0.0,09:33:07.200000,Before 9:00am
1519,2022-01-30,Germany,Chicken Feast,2000,4,0.07,15:00:00,Before 9:00am
1520,2021-08-17,France,Meatzaa,2000,1,0.03,09:44:38.400000,Before 9:00am
1521,2021-05-24,Germany,Chicken Suya,4000,5,0.0,15:56:09.600000,Before 9:00am
1522,2020-01-08,England,Chicken Bali,2000,5,0.05,08:09:36,Before 9:00am
1523,2021-12-21,Spain,Italiano,3000,3,0.07,16:53:45.600000,Before 9:00am
1524,2020-08-20,Germany,Margarita,4000,1,0.1,14:34:04.800000,Before 9:00am
1525,2020-10-21,Germany,Extravaganza,2000,4,0.0,11:22:33.600000,Before 9:00am
1526,2020-08-07,England,Beef Suya,3000,3,0.0,08:54:14.400000,Before 9:00am
1527,2020-10-12,Germany,Beef Suya,3000,5,0.03,18:00:00,Before 9:00am
1528,2020-06-02,Spain,Beef Suya,3000,4,0.0,15:51:50.400000,Before 9:00am
1529,2020-04-01,Germany,BBQ Philly Steak,4000,5,0.0,08:09:36,Before 9:00am
1530,2020-09-06,England,Chicken Suya,4000,2,0.0,11:31:12,Before 9:00am
1531,2021-03-11,France,Chicken Legend,2000,5,0.05,10:01:55.200000,Before 9:00am
1532,2021-11-29,England,Chicken Legend,2000,2,0.05,15:36:00,Before 9:00am
1533,2021-08-02,England,Beef Suya,3000,2,0.0,12:46:04.800000,Before 9:00am
1534,2020-10-08,England,Chicken Bali,2000,4,0.1,08:57:07.200000,Before 9:00am
1535,2020-04-11,Italy,Chicken Bali,2000,3,0.1,10:59:31.200000,Before 9:00am
1536,2021-12-28,Italy,Margarita,4000,2,0.05,14:15:21.600000,Before 9:00am
1537,2020-04-03,France,BBQ Chicken,4000,1,0.03,16:58:04.800000,Before 9:00am
1538,2020-04-02,Italy,Veggie Supreme,3000,4,0.03,14:49:55.200000,Before 9:00am
1539,2021-06-05,Germany,Veggie Supreme,3000,2,0.03,10:27:50.400000,Before 9:00am
1540,2020-04-22,England,Hot Veggie,4000,5,0.1,16:46:33.600000,Before 9:00am
1541,2021-11-24,Spain,BBQ Chicken,4000,4,0.05,14:51:21.600000,Before 9:00am
1542,2020-10-25,France,BBQ Chicken,4000,1,0.0,13:40:48,Before 9:00am
1543,2021-05-13,Spain,Hot Pepperoni Feast,4000,3,0.07,12:27:21.600000,Before 9:00am
1544,2020-07-12,Spain,BBQ Chicken,4000,4,0.1,14:15:21.600000,Before 9:00am
1545,2021-09-16,Spain,BBQ Philly Steak,4000,2,0.0,12:59:02.400000,Before 9:00am
1546,2022-04-16,Spain,Chicken Feast,2000,2,0.0,09:43:12,Before 9:00am
1547,2021-02-04,Italy,Chicken Feast,2000,5,0.05,09:28:48,Before 9:00am
1548,2021-07-24,France,Beef Suya,3000,3,0.07,15:54:43.200000,Before 9:00am
1549,2021-06-19,Italy,Pepperoni Feast,4000,1,0.0,16:37:55.200000,Before 9:00am
1550,2021-05-29,England,Margarita,4000,3,0.05,15:56:09.600000,Before 9:00am
1551,2021-11-21,Germany,Hot Pepperoni Feast,4000,4,0.0,14:02:24,Before 9:00am
1552,2022-03-24,England,BBQ Chicken,4000,1,0.05,16:39:21.600000,Before 9:00am
1553,2021-11-27,France,Hot Veggie,4000,1,0.0,11:08:09.600000,Before 9:00am
1554,2021-12-09,England,Pepperoni Suya,3000,2,0.05,12:50:24,Before 9:00am
1555,2020-09-09,Germany,Pepperoni Feast,4000,3,0.03,15:48:57.600000,Before 9:00am
1556,2021-03-26,England,Veggie Supreme,3000,2,0.03,17:00:57.600000,Before 9:00am
1557,2022-03-10,England,Veggie Supreme,3000,1,0.03,13:01:55.200000,Before 9:00am
1558,2020-05-16,France,Beef Suya,3000,3,0.05,14:55:40.800000,Before 9:00am
1559,2020-08-20,Italy,Veggie Supreme,3000,5,0.05,17:03:50.400000,Before 9:00am
1560,2021-03-28,Spain,Margarita,4000,3,0.0,11:05:16.800000,Before 9:00am
1561,2021-07-26,England,Pepperoni Suya,3000,5,0.0,11:03:50.400000,Before 9:00am
1562,2021-07-09,Italy,Veggie Supreme,3000,4,0.0,08:18:14.400000,Before 9:00am
1563,2020-04-06,Germany,Extravaganza,2000,5,0.03,12:31:40.800000,Before 9:00am
1564,2021-08-26,Germany,Chicken Bali,2000,2,0.03,10:22:04.800000,Before 9:00am
1565,2020-06-21,Italy,Margarita,4000,1,0.07,13:29:16.800000,Before 9:00am
1566,2021-03-10,Germany,Extravaganza,2000,4,0.03,13:01:55.200000,Before 9:00am
1567,2020-05-23,France,Chicken Suya,4000,5,0.05,17:55:40.800000,Before 9:00am
1568,2022-03-29,Germany,Margarita,4000,3,0.0,14:03:50.400000,Before 9:00am
1569,2021-06-04,England,BBQ Chicken,4000,1,0.05,17:57:07.200000,Before 9:00am
1570,2021-10-25,Germany,Veggie Supreme,3000,3,0.07,14:58:33.600000,Before 9:00am
1571,2020-02-29,Italy,Pepperoni Suya,3000,3,0.07,09:50:24,Before 9:00am
1572,2021-10-18,Italy,Italiano,3000,5,0.0,17:18:14.400000,Before 9:00am
1573,2022-05-18,England,Chicken Bali,2000,3,0.0,10:37:55.200000,Before 9:00am
1574,2021-03-11,Italy,Pepperoni Feast,4000,3,0.03,16:13:26.400000,Before 9:00am
1575,2022-02-10,France,Pepperoni Feast,4000,2,0.0,10:30:43.200000,Before 9:00am
1576,2022-02-23,Germany,Veggie Supreme,3000,2,0.07,11:29:45.600000,Before 9:00am
1577,2020-09-26,France,Hot Veggie,4000,3,0.05,13:55:12,Before 9:00am
1578,2021-04-04,Spain,Meatzaa,2000,5,0.03,10:12:00,Before 9:00am
1579,2020-01-25,England,Chicken Feast,2000,1,0.07,11:28:19.200000,Before 9:00am
1580,2022-05-26,Spain,Hot Pepperoni Feast,4000,2,0.1,11:58:33.600000,Before 9:00am
1581,2021-03-25,Spain,Hot Pepperoni Feast,4000,1,0.0,15:38:52.800000,Before 9:00am
1582,2020-10-10,Spain,BBQ Philly Steak,4000,3,0.05,16:39:21.600000,Before 9:00am
1583,2020-04-08,England,BBQ Philly Steak,4000,2,0.0,08:57:07.200000,Before 9:00am
1584,2022-04-18,Germany,Meatzaa,2000,3,0.03,17:34:04.800000,Before 9:00am
1585,2022-05-13,Germany,Hot Pepperoni Feast,4000,1,0.05,16:03:21.600000,Before 9:00am
1586,2020-05-27,Italy,Hot Pepperoni Feast,4000,3,0.07,14:16:48,Before 9:00am
1587,2020-11-17,France,Meatzaa,2000,1,0.03,17:03:50.400000,Before 9:00am
1588,2020-12-22,Spain,Chicken Legend,2000,3,0.03,10:32:09.600000,Before 9:00am
1589,2021-05-23,Italy,Hot Pepperoni Feast,4000,5,0.1,12:10:04.800000,Before 9:00am
1590,2020-12-07,Spain,Pepperoni Suya,3000,2,0.03,14:12:28.800000,Before 9:00am
1591,2022-01-26,Italy,Chicken Bali,2000,4,0.0,12:14:24,Before 9:00am
1592,2020-01-30,Italy,Beef Suya,3000,5,0.05,10:09:07.200000,Before 9:00am
1593,2020-12-09,England,Hot Veggie,4000,2,0.03,09:05:45.600000,Before 9:00am
1594,2020-09-10,Italy,Margarita,4000,3,0.07,11:31:12,Before 9:00am
1595,2021-05-20,France,Chicken Suya,4000,2,0.05,17:48:28.800000,Before 9:00am
1596,2021-11-30,Spain,Chicken Feast,2000,1,0.07,15:44:38.400000,Before 9:00am
1597,2021-06-26,Germany,Chicken Feast,2000,5,0.07,16:58:04.800000,Before 9:00am
1598,2021-04-01,Italy,Italiano,3000,4,0.1,09:25:55.200000,Before 9:00am
1599,2020-07-06,England,BBQ Chicken,4000,4,0.07,13:55:12,Before 9:00am
1600,2021-08-17,Germany,Chicken Legend,2000,4,0.0,11:02:24,Before 9:00am
1601,2021-04-10,France,Chicken Bali,2000,4,0.07,15:36:00,Before 9:00am
1602,2020-03-09,Germany,Margarita,4000,1,0.0,11:02:24,Before 9:00am
1603,2020-09-20,France,BBQ Chicken,4000,5,0.1,13:24:57.600000,Before 9:00am
1604,2020-12-04,Spain,Meatzaa,2000,3,0.05,10:29:16.800000,Before 9:00am
1605,2020-10-10,Spain,Pepperoni Suya,3000,2,0.05,13:49:26.400000,Before 9:00am
1606,2022-05-20,Spain,Chicken Legend,2000,4,0.1,16:37:55.200000,Before 9:00am
1607,2021-08-19,Spain,Meatzaa,2000,1,0.03,16:20:38.400000,Before 9:00am
1608,2021-08-30,Italy,Chicken Bali,2000,1,0.07,11:05:16.800000,Before 9:00am
1609,2020-03-21,Spain,Beef Suya,3000,2,0.0,09:33:07.200000,Before 9:00am
1610,2021-12-16,France,BBQ Chicken,4000,2,0.0,15:40:19.200000,Before 9:00am
1611,2020-11-28,Italy,Chicken Legend,2000,2,0.03,16:43:40.800000,Before 9:00am
1612,2021-04-03,Spain,Pepperoni Feast,4000,2,0.05,09:01:26.400000,Before 9:00am
1613,2020-01-23,Germany,Pepperoni Feast,4000,5,0.07,17:25:26.400000,Before 9:00am
1614,2021-11-18,Spain,Hot Pepperoni Feast,4000,5,0.0,10:17:45.600000,Before 9:00am
1615,2020-04-05,France,Italiano,3000,5,0.07,16:35:02.400000,Before 9:00am
1616,2021-12-12,Spain,Hot Pepperoni Feast,4000,2,0.05,13:16:19.200000,Before 9:00am
1617,2021-04-09,Germany,Chicken Suya,4000,4,0.05,09:07:12,Before 9:00am
1618,2022-04-21,Italy,Pepperoni Feast,4000,3,0.0,12:28:48,Before 9:00am
1619,2020-05-21,Spain,Veggie Supreme,3000,2,0.03,15:01:26.400000,Before 9:00am
1620,2020-03-29,Germany,Chicken Bali,2000,2,0.07,09:11:31.200000,Before 9:00am
1621,2020-11-30,Germany,BBQ Chicken,4000,3,0.05,15:11:31.200000,Before 9:00am
1622,2021-11-26,France,Chicken Legend,2000,4,0.05,17:29:45.600000,Before 9:00am
1623,2021-07-20,England,Pepperoni Feast,4000,5,0.05,10:01:55.200000,Before 9:00am
1624,2022-04-01,Italy,Chicken Feast,2000,4,0.05,11:49:55.200000,Before 9:00am
1625,2022-04-11,Germany,Pepperoni Suya,3000,3,0.05,12:12:57.600000,Before 9:00am
1626,2021-10-15,Spain,Chicken Legend,2000,5,0.03,16:59:31.200000,Before 9:00am
1627,2021-07-07,Italy,Chicken Bali,2000,5,0.0,11:48:28.800000,Before 9:00am
1628,2020-07-24,Germany,Italiano,3000,2,0.03,17:36:57.600000,Before 9:00am
1629,2020-06-07,Spain,Pepperoni Feast,4000,1,0.1,09:12:57.600000,Before 9:00am
1630,2021-01-03,Germany,Pepperoni Suya,3000,3,0.05,13:01:55.200000,Before 9:00am
1631,2021-10-11,France,Meatzaa,2000,2,0.07,16:19:12,Before 9:00am
1632,2020-01-09,France,Beef Suya,3000,3,0.05,08:49:55.200000,Before 9:00am
1633,2020-11-03,England,Hot Pepperoni Feast,4000,2,0.1,17:15:21.600000,Before 9:00am
1634,2021-04-06,Spain,Veggie Supreme,3000,2,0.0,17:22:33.600000,Before 9:00am
1635,2020-07-27,France,Chicken Suya,4000,1,0.0,16:59:31.200000,Before 9:00am
1636,2021-07-09,Italy,BBQ Chicken,4000,4,0.0,15:05:45.600000,Before 9:00am
1637,2020-10-07,Germany,BBQ Chicken,4000,3,0.0,09:10:04.800000,Before 9:00am
1638,2022-04-08,Spain,Veggie Supreme,3000,4,0.05,17:18:14.400000,Before 9:00am
1639,2020-03-15,Italy,Pepperoni Suya,3000,2,0.0,13:48:00,Before 9:00am
1640,2021-09-22,England,BBQ Philly Steak,4000,1,0.05,16:24:57.600000,Before 9:00am
1641,2021-07-25,Italy,BBQ Philly Steak,4000,5,0.0,14:28:19.200000,Before 9:00am
1642,2020-07-28,Italy,Hot Veggie,4000,2,0.0,16:16:19.200000,Before 9:00am
1643,2021-09-21,France,BBQ Chicken,4000,3,0.05,14:55:40.800000,Before 9:00am
1644,2020-06-13,France,Chicken Feast,2000,4,0.03,10:39:21.600000,Before 9:00am
1645,2020-03-29,England,Chicken Legend,2000,2,0.05,15:30:14.400000,Before 9:00am
1646,2020-05-06,Italy,Chicken Bali,2000,1,0.0,13:29:16.800000,Before 9:00am
1647,2021-07-02,Germany,Pepperoni Suya,3000,4,0.05,08:09:36,Before 9:00am
1648,2020-11-04,Spain,Hot Veggie,4000,2,0.1,12:28:48,Before 9:00am
1649,2020-09-02,Spain,Chicken Suya,4000,5,0.0,14:34:04.800000,Before 9:00am
1650,2022-04-07,France,Pepperoni Feast,4000,2,0.0,08:15:21.600000,Before 9:00am
1651,2022-01-05,Italy,Chicken Suya,4000,2,0.05,10:24:57.600000,Before 9:00am
1652,2021-12-27,Spain,Pepperoni Feast,4000,4,0.05,17:18:14.400000,Before 9:00am
1653,2021-10-31,France,Pepperoni Suya,3000,2,0.05,12:31:40.800000,Before 9:00am
1654,2021-04-17,England,Chicken Feast,2000,1,0.03,11:26:52.800000,Before 9:00am
1655,2021-01-26,Italy,Beef Suya,3000,4,0.03,16:26:24,Before 9:00am
1656,2022-04-01,France,Italiano,3000,2,0.03,13:19:12,Before 9:00am
1657,2020-04-18,England,Chicken Legend,2000,3,0.05,09:56:09.600000,Before 9:00am
1658,2021-09-08,Spain,Chicken Legend,2000,2,0.1,10:52:19.200000,Before 9:00am
1659,2020-12-18,France,Meatzaa,2000,1,0.05,14:13:55.200000,Before 9:00am
1660,2021-01-29,Italy,Italiano,3000,4,0.1,09:01:26.400000,Before 9:00am
1661,2020-06-04,Spain,Pepperoni Suya,3000,3,0.05,11:47:02.400000,Before 9:00am
1662,2021-03-24,Italy,Meatzaa,2000,1,0.0,08:44:09.600000,Before 9:00am
1663,2020-01-15,England,Hot Veggie,4000,5,0.0,09:51:50.400000,Before 9:00am
1664,2021-06-19,France,BBQ Philly Steak,4000,3,0.03,09:27:21.600000,Before 9:00am
1665,2021-10-07,Germany,Chicken Suya,4000,1,0.0,13:45:07.200000,Before 9:00am
1666,2021-07-01,Germany,BBQ Philly Steak,4000,3,0.05,13:42:14.400000,Before 9:00am
1667,2020-08-16,France,Chicken Legend,2000,4,0.0,10:33:36,Before 9:00am
1668,2021-04-10,France,Beef Suya,3000,1,0.05,08:49:55.200000,Before 9:00am
1669,2022-01-20,England,Meatzaa,2000,3,0.05,14:48:28.800000,Before 9:00am
1670,2021-12-25,Germany,Extravaganza,2000,5,0.05,08:39:50.400000,Before 9:00am
1671,2020-07-03,Italy,Chicken Bali,2000,1,0.0,16:26:24,Before 9:00am
1672,2020-11-27,France,Pepperoni Feast,4000,2,0.05,09:47:31.200000,Before 9:00am
1673,2022-04-15,Spain,Hot Pepperoni Feast,4000,3,0.03,16:35:02.400000,Before 9:00am
1674,2021-12-12,Germany,Veggie Supreme,3000,5,0.03,13:59:31.200000,Before 9:00am
1675,2021-01-05,Spain,BBQ Chicken,4000,1,0.1,17:48:28.800000,Before 9:00am
1676,2020-02-13,Italy,BBQ Chicken,4000,2,0.03,08:05:16.800000,Before 9:00am
1677,2021-11-19,Spain,Pepperoni Suya,3000,5,0.1,16:00:28.800000,Before 9:00am
1678,2020-01-19,France,Chicken Feast,2000,2,0.0,10:17:45.600000,Before 9:00am
1679,2021-11-13,Germany,Margarita,4000,2,0.0,09:38:52.800000,Before 9:00am
1680,2020-02-27,England,Chicken Bali,2000,4,0.03,17:13:55.200000,Before 9:00am
1681,2020-02-27,Italy,Hot Pepperoni Feast,4000,5,0.0,17:02:24,Before 9:00am
1682,2020-10-23,Spain,Italiano,3000,4,0.05,11:42:43.200000,Before 9:00am
1683,2020-02-01,Spain,Beef Suya,3000,3,0.0,16:00:28.800000,Before 9:00am
1684,2021-10-29,France,BBQ Philly Steak,4000,2,0.07,15:30:14.400000,Before 9:00am
1685,2021-11-14,Italy,Chicken Legend,2000,4,0.0,13:16:19.200000,Before 9:00am
1686,2021-07-18,France,Pepperoni Suya,3000,1,0.07,13:58:04.800000,Before 9:00am
1687,2022-02-15,Germany,Chicken Feast,2000,4,0.05,14:05:16.800000,Before 9:00am
1688,2022-02-21,Italy,Hot Veggie,4000,2,0.05,10:16:19.200000,Before 9:00am
1689,2021-06-22,England,Veggie Supreme,3000,4,0.05,10:46:33.600000,Before 9:00am
1690,2021-10-06,Spain,BBQ Philly Steak,4000,3,0.0,17:34:04.800000,Before 9:00am
1691,2020-04-19,Germany,BBQ Philly Steak,4000,2,0.05,10:40:48,Before 9:00am
1692,2021-08-27,France,Chicken Legend,2000,4,0.03,16:14:52.800000,Before 9:00am
1693,2021-04-11,Germany,Italiano,3000,3,0.0,11:02:24,Before 9:00am
1694,2022-02-03,Germany,BBQ Chicken,4000,3,0.03,14:06:43.200000,Before 9:00am
1695,2022-05-01,Germany,Pepperoni Feast,4000,2,0.0,16:17:45.600000,Before 9:00am
1696,2021-01-23,Germany,Chicken Feast,2000,4,0.0,15:27:21.600000,Before 9:00am
1697,2022-04-20,England,Margarita,4000,3,0.05,15:11:31.200000,Before 9:00am
1698,2021-07-22,Germany,Veggie Supreme,3000,5,0.05,11:28:19.200000,Before 9:00am
1699,2020-06-29,Spain,Hot Pepperoni Feast,4000,2,0.05,12:08:38.400000,Before 9:00am
1700,2020-09-10,Spain,Chicken Legend,2000,4,0.0,14:21:07.200000,Before 9:00am
1701,2021-01-28,England,BBQ Philly Steak,4000,3,0.07,12:02:52.800000,Before 9:00am
1702,2021-08-01,England,BBQ Philly Steak,4000,1,0.03,13:49:26.400000,Before 9:00am
1703,2020-09-01,England,Meatzaa,2000,2,0.03,16:23:31.200000,Before 9:00am
1704,2020-05-20,Spain,Margarita,4000,3,0.03,17:19:40.800000,Before 9:00am
1705,2022-03-14,Germany,Chicken Feast,2000,2,0.07,12:17:16.800000,Before 9:00am
1706,2020-05-04,Italy,Hot Pepperoni Feast,4000,3,0.03,08:32:38.400000,Before 9:00am
1707,2022-06-25,England,Italiano,3000,2,0.0,12:04:19.200000,Before 9:00am
1708,2021-09-27,Spain,Chicken Suya,4000,2,0.05,16:36:28.800000,Before 9:00am
1709,2020-09-13,Italy,Hot Pepperoni Feast,4000,2,0.0,11:42:43.200000,Before 9:00am
1710,2021-04-26,Germany,Chicken Suya,4000,4,0.03,14:38:24,Before 9:00am
1711,2020-08-12,France,Chicken Feast,2000,1,0.03,15:50:24,Before 9:00am
1712,2022-04-13,England,Beef Suya,3000,3,0.05,14:34:04.800000,Before 9:00am
1713,2021-08-03,Spain,Chicken Bali,2000,4,0.0,08:36:57.600000,Before 9:00am
1714,2021-08-29,Germany,Chicken Feast,2000,2,0.05,10:19:12,Before 9:00am
1715,2020-09-28,England,Pepperoni Feast,4000,1,0.05,09:18:43.200000,Before 9:00am
